省份编码,省份,年份,每十万人口幼儿园平均在校生数(人),每十万人口小学平均在校生数(人),每十万人口初中阶段平均在校生数(人),每十万人口高中阶段平均在校生数(人),每十万人口高等学校平均在校生数(人)
110000,北京市,2019,2171.0,4371.0,1433.0,1078.04549675023,5320.0
110000,北京市,2018,2076.0,4206.0,1285.0,1151.0,5268.0
110000,北京市,2017,2050.0,4031.0,1226.0,1245.0,5300.0
110000,北京市,2016,1920.6909258406,4000.0783049286,1235.7116536159,1321.3219714417,5028.0700138185
110000,北京市,2015,1831.4172862454,3951.3057620818,1316.7565055762,1425.5111524164,5218.2388475836
110000,北京市,2014,1725.7140155097,3882.8825420844,1450.6761868735,1629.7238509552,5428.8301494231
110000,北京市,2013,1685.26341227646,3814.77042049299,1501.05364910585,1912.1072982117,5468.60802319961
110000,北京市,2012,1643.0,3560.0,1513.0,2114.0,5534.0
110000,北京市,2011,1587.24260958206,3468.18042813456,1540.61671763507,2103.74108053007,5612.86952089704
110000,北京市,2010,1578.0,3722.0,1766.0,2363.0,6196.0
110000,北京市,2009,1461.81710914454,3817.70501474926,1881.26253687316,2475.03244837758,6410.33628318584
110000,北京市,2008,1388.12614819351,4038.57930189835,1990.9185548071,2788.06491120637,6749.96325780772
110000,北京市,2007,,,,,
110000,北京市,2006,,,,,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,1768.0,4500.0,1945.0,1673.28846153846,4214.0
120000,天津市,2018,1689.0,4324.0,1800.0,1752.0,4150.0
120000,天津市,2017,1674.0,4149.0,1679.0,1820.0,4072.0
120000,天津市,2016,1724.0336134454,4080.1228183581,1657.2915319974,1851.3445378151,4058.3516483517
120000,天津市,2015,1664.6473302571,3969.3078444298,1723.6255767963,1866.2821357943,4184.5880026368
120000,天津市,2014,1629.1697515979,3893.3779827606,1815.0535589352,1924.4469199367,4282.6498936972
120000,天津市,2013,1650.58032554848,3907.40268931352,1845.0813871196,2076.77990092003,4346.16418966737
120000,天津市,2012,1687.0,3928.0,1893.0,2275.0,4358.0
120000,天津市,2011,1740.36181678214,3991.77059276366,2016.58198614319,2441.33179368745,4329.05311778291
120000,天津市,2010,1774.0,4119.0,2226.0,2776.0,4412.0
120000,天津市,2009,1755.50170068027,4314.49829931973,2440.73979591837,3040.34863945578,4431.55612244898
120000,天津市,2008,1729.72197309417,4672.61883408072,2721.90134529148,3452.19730941704,4534.18834080718
120000,天津市,2007,,,,,
120000,天津市,2006,,,,,
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,3164.0,8988.0,3935.0,3053.11937533086,2596.0
130000,河北省,2018,3194.0,8761.0,3765.0,2885.0,2457.0
130000,河北省,2017,3179.0,8530.0,3481.0,2822.0,2328.0
130000,河北省,2016,3152.9535353535,8357.5393939394,3280.5521885522,2657.4572390572,2191.2404040404
130000,河北省,2015,3138.0850487541,8074.7034127844,3197.9008667389,2555.4496208017,2140.7082881907
130000,河北省,2014,2957.3180627362,7695.5736088514,3120.5737111342,2578.8634606232,2098.2160513105
130000,河北省,2013,2921.84275521405,7494.69676180022,2865.62843029638,2745.16053787047,2107.59467618002
130000,河北省,2012,2710.0,7765.0,3002.0,3148.0,2063.0
130000,河北省,2011,2550.23491798721,7521.42062830136,2989.06727828746,3426.99749791493,2006.37614678899
130000,河北省,2010,2389.0,7273.0,3145.0,3647.0,1951.0
130000,河北省,2009,2164.77459714229,6991.94427671624,3460.98053748701,3698.4183309915,1870.62336703478
130000,河北省,2008,2003.72461471986,6850.944836526,3949.32882039464,3723.84559988478,1810.55163474003
130000,河北省,2007,,,,,
130000,河北省,2006,,,,,
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,2681.0,6168.0,3071.0,2815.15061861216,2515.0
140000,山西省,2018,2668.0,6172.0,3073.0,2919.0,2383.0
140000,山西省,2017,2791.0,6196.0,2940.0,3119.0,2401.0
140000,山西省,2016,2704.6533842795,6197.8684497817,2982.3662663756,3269.5223799127,2438.8618995633
140000,山西省,2015,2694.4709429825,6221.2582236842,3088.9254385965,3485.7099780702,2503.8569078947
140000,山西省,2014,2667.4665270814,6184.9661138355,3358.1795140228,3686.0570830349,2518.8081987988
140000,山西省,2013,2634.81307117142,6359.41013569648,3576.41096649128,3871.7889781224,2473.50872334533
140000,山西省,2012,2546.0,7285.0,4182.0,4050.0,2351.0
140000,山西省,2011,2296.04924454393,7755.81141578064,4597.40626748741,4133.91158365976,2202.17683268047
140000,山西省,2010,2072.0,8492.0,5004.0,4478.0,2132.0
140000,山西省,2009,1884.94433547078,8933.6834173359,5109.67832733734,4444.43662570625,2050.08781420332
140000,山西省,2008,1774.67432950192,9470.75154730327,5286.43972885352,4249.76422045388,1979.40170940171
140000,山西省,2007,,,,,
140000,山西省,2006,,,,,
140000,山西省,2005,,,,,
140000,山西省,2004,,,,,
