年份,硕士招生数,哲学硕士招生数,经济学硕士招生数,法学硕士招生数,教育学硕士招生数,文学硕士招生数,历史学硕士招生数,理学硕士招生数,工学硕士招生数,农学硕士招生数,医学硕士招生数,军事学硕士招生数,管理学硕士招生数,普通高校硕士招生数,普通高校哲学硕士招生数,普通高校经济学硕士招生数,普通高校法学硕士招生数,普通高校教育学硕士招生数,普通高校文学硕士招生数,普通高校历史学硕士招生数,普通高校理学硕士招生数,普通高校工学硕士招生数,普通高校农学硕士招生数,普通高校医学硕士招生数,普通高校军事学硕士招生数,普通高校管理学硕士招生数,科研机构硕士招生数,科研机构哲学硕士招生数,科研机构经济学硕士招生数,科研机构法学硕士招生数,科研机构教育学硕士招生数,科研机构文学硕士招生数,科研机构历史学硕士招生数,科研机构理学硕士招生数,科研机构工学硕士招生数,科研机构农学硕士招生数,科研机构医学硕士招生数,科研机构军事学硕士招生数,科研机构管理学硕士招生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,99.0504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,81.1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,76.2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,72.2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,58.9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,57.0639,0.3385,2.7158,3.8611,3.3612,3.028,0.4921,4.8079,19.8705,2.0975,6.5574,0.015,7.9517,56.4437,0.3294,2.6611,3.788,3.3612,3.0227,0.4809,4.7632,19.6458,2.0441,6.5056,0.015,7.8712,0.6202,0.0091,0.0547,0.0731,,0.0053,0.0112,0.0447,0.2247,0.0534,0.0518,,0.0805
2014,54.8689,0.3555,2.5147,3.8205,3.333,2.9529,0.4781,4.7159,18.9895,2.0202,6.0891,0.0183,7.7152,54.2439,0.3466,2.4678,3.7457,3.333,2.9474,0.4676,4.6701,18.7658,1.954,6.0367,0.0183,7.6359,0.625,0.0089,0.0469,0.0748,,0.0055,0.0105,0.0458,0.2237,0.0662,0.0524,,0.0793
2013,54.0919,0.3508,2.5088,3.8119,3.1241,2.9208,0.4685,4.6044,19.075,2.0296,5.7435,0.0212,7.6612,53.0583,0.3423,2.4612,3.7376,3.1241,2.9154,0.4587,4.3732,18.6518,1.9571,5.6744,0.0208,7.5816,1.0336,0.0085,0.0476,0.0743,,0.0054,0.0098,0.2312,0.4232,0.0725,0.0691,0.0004,0.0796
2012,52.1303,0.3715,2.4482,3.735,2.89,2.9691,0.4517,4.4788,18.3593,1.7975,5.607,0.0208,7.3428,51.132,0.363,2.4,3.6654,2.89,2.9612,0.4429,4.2558,17.9507,1.725,5.5402,0.0207,7.2704,0.9983,0.0085,0.0482,0.0696,,0.0079,0.0088,0.223,0.4086,0.0725,0.0668,0.0001,0.0724
2011,49.4609,0.3885,2.2481,3.692,2.5751,4.5165,0.4767,4.4894,17.0478,1.7084,5.2721,0.0217,7.0246,48.2195,0.379,2.2118,3.6202,2.5706,4.4984,0.4702,4.1408,16.5058,1.6415,5.2068,0.0216,6.9528,1.2414,0.0095,0.0363,0.0718,0.0045,0.0181,0.0065,0.3486,0.542,0.0669,0.0653,0.0001,0.0718
2010,47.4415,0.4036,1.7837,2.5801,1.4129,3.7828,0.4542,4.6172,12.9727,1.2043,3.3543,0.0207,3.0757,46.1815,0.392,1.7515,2.5385,1.4085,3.7644,0.4483,4.238,12.5303,1.1539,3.3009,0.0206,3.0311,1.26,0.0116,0.0322,0.0416,0.0044,0.0184,0.0059,0.3792,0.4424,0.0504,0.0534,0.0001,0.0446
2009,44.9042,0.4421,1.8803,2.773,1.5575,3.9046,0.4933,4.7641,13.5444,1.2067,3.7881,0.0202,3.3911,43.7328,0.4304,1.8503,2.7341,1.5525,3.8848,0.4871,4.3765,13.0821,1.1584,3.7334,0.0201,3.3453,1.1714,0.0117,0.03,0.0389,0.005,0.0198,0.0062,0.3876,0.4623,0.0483,0.0547,0.0001,0.0458
2008,38.6658,0.4419,1.823,3.158,1.4793,3.651,0.4649,4.4273,13.3222,1.0668,4.0083,0.0195,4.8036,37.5527,0.4313,1.7893,3.1179,1.474,3.6332,0.4588,4.0501,12.8502,1.0151,3.9508,0.0193,4.7627,1.1131,0.0106,0.0337,0.0401,0.0053,0.0178,0.0061,0.3772,0.472,0.0517,0.0575,0.0002,0.0409
2007,36.059,0.4572,1.7425,2.8398,1.3918,3.3173,0.4409,4.0305,12.4671,1.3338,3.7036,0.0212,4.3133,34.9778,0.4473,1.7115,2.8004,1.3868,3.3007,0.4356,3.6642,12.0144,1.2833,3.6395,0.021,4.2731,1.0812,0.0099,0.031,0.0394,0.005,0.0166,0.0053,0.3663,0.4527,0.0505,0.0641,0.0002,0.0402
2006,34.197,0.3943,1.6995,2.4448,1.327,2.898,0.4523,3.7245,12.3309,1.2552,3.5425,0.0185,4.1095,33.1489,0.384,1.6672,2.4104,1.3231,2.8804,0.4464,3.3637,11.8969,1.2128,3.4774,0.0182,4.0684,1.0481,0.0103,0.0323,0.0344,0.0039,0.0176,0.0059,0.3608,0.434,0.0424,0.0651,0.0003,0.0411
2005,31.0037,0.3683,1.595,2.2465,1.1352,2.6628,0.4303,3.4979,11.0362,1.1611,3.1602,0.0185,3.6917,29.9583,0.3564,1.5642,2.2129,1.1318,2.6472,0.4244,3.1372,10.595,1.1228,3.0974,0.0182,3.6508,1.0454,0.0119,0.0308,0.0336,0.0034,0.0156,0.0059,0.3607,0.4412,0.0383,0.0628,0.0003,0.0409
2004,27.3002,0.3198,1.4287,2.0746,0.909,2.2482,0.3646,3.0984,10.0479,0.9941,2.6562,0.0143,3.1444,26.317,0.3113,1.4006,2.0282,0.9064,2.2345,0.3583,2.7677,9.6333,0.9606,2.5966,0.0142,3.1053,0.9832,0.0085,0.0281,0.0464,0.0026,0.0137,0.0063,0.3307,0.4146,0.0335,0.0596,0.0001,0.0391
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
