年份,初中在校学生数,教育部门办初中在校学生数,其他部门办初中在校学生数,地方企业办初中在校学生数,民办初中在校学生数,城市初中在校学生数,城市教育部门办初中在校学生数,城市其他部门办初中在校学生数,城市地方企业办初中在校学生数,城市民办初中在校学生数,县镇初中在校学生数,县镇教育部门办初中在校学生数,县镇其他部门办初中在校学生数,县镇地方企业办初中在校学生数,县镇民办初中在校学生数,农村初中在校学生数,农村教育部门办初中在校学生数,农村其他部门办初中在校学生数,农村地方企业办初中在校学生数,农村民办初中在校学生数
2021,5018.4,,,,,,,,,,,,,,,,,,,
2020,4914.0893,,,,718.958,,,,,,,,,,,,,,,
2019,4827.1362,,,,687.4005,,,,,,,,,,,,,,,
2018,4652.6,,,,636.3044,,,,,,,,,,,,,,,
2017,4442.1,,,,,,,,,,,,,,,,,,,
2016,4329.4,,,,532.8168,,,,,,,,,,,,,,,
2015,4312.0,,,,,,,,,,,,,,,,,,,
2014,4384.6,,,,,,,,,,,,,,,,,,,
2013,4440.1,3949.1299,26.9398,1.7069,462.3482,1430.0203,1180.4325,9.6035,0.8163,239.168,2195.571,1992.6269,15.1969,0.869,186.8782,814.5335,776.0705,2.1394,0.0216,36.302
2012,4763.1,4276.1096,33.7088,1.8332,451.4091,1441.0251,1200.9457,9.9489,0.7671,229.3634,2347.9363,2140.8017,20.8672,1.0249,185.2425,974.0993,934.3622,2.8927,0.0412,36.8032
2011,5066.8,4587.6709,33.5626,3.0073,442.5616,1436.398,1204.9436,12.0832,1.03,218.3412,2467.4229,2266.5947,18.6933,1.8216,180.3133,1162.9815,1116.1326,2.7861,0.1557,43.9071
2010,5279.3,,,,,,,,,,,,,,,,,,,
2009,5440.9,,,,,,,,,,,,,,,,,,,
2008,5585.0,,,,,,,,,,,,,,,,,,,
2007,5736.2,,,,,,,,,,,,,,,,,,,
2006,5957.9491,,,,,,,,,,,,,,,,,,,
2005,6214.9,,,,,,,,,,,,,,,,,,,
2004,6527.5,,,,,,,,,,,,,,,,,,,
2003,6690.8,,,,,,,,,,,,,,,,,,,
2002,6687.4,,,,,,,,,,,,,,,,,,,
2001,6514.4,,,,,,,,,,,,,,,,,,,
2000,6256.3,,,,,,,,,,,,,,,,,,,
