年份,初中招生数,教育部门办初中招生数,其他部门办初中招生数,地方企业办初中招生数,民办初中招生数,城市初中招生数,城市教育部门办初中招生数,城市其他部门办初中招生数,城市地方企业办初中招生数,城市民办初中招生数,县镇初中招生数,县镇教育部门办初中招生数,县镇其他部门办初中招生数,县镇地方企业办初中招生数,县镇民办初中招生数,农村初中招生数,农村教育部门办初中招生数,农村其他部门办初中招生数,农村地方企业办初中招生数,农村民办初中招生数
2021,1705.4,,,,,,,,,,,,,,,,,,,
2020,1632.0964,,,,243.6736,,,,,,,,,,,,,,,
2019,1638.8487,,,,243.1074,,,,,,,,,,,,,,,
2018,1602.6,,,,230.47,,,,,,,,,,,,,,,
2017,1547.2,,,,,,,,,,,,,,,,,,,
2016,1487.2,,,,188.7366,,,,,,,,,,,,,,,
2015,1411.0,,,,,,,,,,,,,,,,,,,
2014,1447.8,,,,,,,,,,,,,,,,,,,
2013,1496.1,1324.4816,8.8755,0.6183,162.1113,481.4726,393.9113,3.1554,0.3007,84.1052,740.0752,669.5695,4.9946,0.3116,65.1995,274.5389,261.0008,0.7255,0.006,12.8066
2012,1570.8,1401.7815,10.5999,0.5835,157.8051,481.9611,397.6777,3.247,0.2661,80.7703,770.376,699.3593,6.3973,0.3062,64.3132,318.4329,304.7445,0.9556,0.0112,12.7216
2011,1634.7,1469.4298,10.704,0.9479,153.6479,469.3012,388.9596,3.9427,0.3238,76.0751,793.9411,724.9219,5.8829,0.5795,62.5568,371.4873,355.5483,0.8784,0.0446,15.016
2010,1716.6,,,,,,,,,,,,,,,,,,,
2009,1788.5,,,,,,,,,,,,,,,,,,,
2008,1859.6,,,,,,,,,,,,,,,,,,,
2007,1868.5,,,,,,,,,,,,,,,,,,,
2006,1929.5,,,,,,,,,,,,,,,,,,,
2005,1987.6,,,,,,,,,,,,,,,,,,,
2004,2094.6,,,,,,,,,,,,,,,,,,,
2003,2220.1,,,,,,,,,,,,,,,,,,,
2002,2281.8,,,,,,,,,,,,,,,,,,,
2001,2287.9,,,,,,,,,,,,,,,,,,,
2000,2295.6,,,,,,,,,,,,,,,,,,,
