年份,高等教育招生数,研究生招生数,博士招生数,硕士招生数,普通本专科招生数,普通本科招生数,普通专科招生数,成人本专科招生数,成人本科招生数,成人专科招生数,在职人员攻读博士、硕士学位招生数,网络本专科生招生数,网络本科招生数,网络专科招生数,中等教育招生数,高中阶段教育招生数,高中招生数,普通高中招生数,普通高中完全中学招生数,高级中学招生数,十二年一贯制普通高中招生数,成人高中招生数,中等职业教育招生数,普通中专招生数,成人中专招生数,职业高中招生数,技工学校招生数,初中阶段教育招生数,普通初中招生数,初级中学招生数,九年一贯制普通初中招生数,十二年一贯制普通初中招生数,普通初中完全中学招生数,职业初中招生数,成人初中招生数,初等教育招生数,普通小学招生数,小学招生数,九年一贯制普通小学招生数,十二年一贯制普通小学招生数,成人小学招生数,扫盲班招生数,工读学校招生数,特殊教育招生数,学前教育招生数
2021,,117.7,,,1001.3,,,,,,,,,,,,,905.0,,,,,656.2,,,,,,,,,,,,,,1782.6,,,,,,,14.9,
2020,,110.6551,11.6047,99.0504,967.4518,443.1154,524.3364,363.763,189.6292,174.1338,,277.9128,107.2248,170.688,3153.2006,1521.1042,876.4435,876.4435,265.3613,559.0528,52.0294,,644.6607,272.6906,53.532,158.383,160.0551,1632.0964,,1089.2448,287.5328,54.1731,201.0847,0.061,,1808.0902,1808.0902,1573.7834,208.3092,25.9976,,,0.3036,14.9046,1791.4049
2019,,91.6503,10.5169,81.1334,914.9026,431.288,483.6146,302.2088,150.552,151.6568,,288.5458,100.6897,187.8561,3078.7093,1439.8606,839.4949,839.4949,255.9319,537.5734,45.9896,,600.3657,255.5022,49.7336,152.1763,142.9536,1638.8487,,1105.573,277.7295,51.3312,204.1308,0.0842,,1869.0411,1869.0411,1634.1631,209.5409,25.3371,,,0.3792,14.4211,1688.2293
2018,,85.7966,9.5502,76.2464,790.9931,422.159,368.8341,273.3119,140.038,133.2739,,320.9064,104.436,216.4704,2952.3486,1349.7555,792.7063,792.7,241.558,512.9919,38.1564,,557.0492,241.9344,46.2495,140.3185,128.5,1602.5931,,1097.8173,259.778,45.791,199.1459,0.1,,1867.297,1867.3,1643.9462,199.981,23.3698,,,0.3235,12.4,1863.9
2017,,80.6103,8.3878,72.2225,761.5,410.7534,350.7,217.5302,102.3981,115.1321,,286.1143,99.3253,186.789,2929.706,1382.4851,800.0548,800.1,247.7207,516.9156,35.4185,,582.4,246.2485,56.8771,148.3979,130.9,1547.2209,,1076.0883,237.8247,39.8065,193.4058,0.1,,1766.5544,1766.6,1568.8419,178.7919,18.9206,,,0.3187,11.1,1938.0
2016,,66.7064,7.7252,58.9812,748.6,405.4007,343.2,211.229,96.9387,114.2903,,229.6088,84.7568,144.852,2883.428,1396.2617,802.9206,802.9,251.0805,519.8827,31.9574,,593.3,255.184,59.5252,151.4336,127.2,1487.1663,,1054.3289,212.833,33.5815,186.2834,0.1,,1752.4659,1752.5,1568.7123,167.6992,16.0544,,,0.3295,9.2,1922.1
2015,,64.5055,7.4416,57.0639,737.8,389.4184,348.4,236.7455,101.4675,135.278,,203.4032,74.866,128.5372,2808.8798,1397.8556,796.6066,796.6,251.4294,516.9187,28.2585,,601.2,259.9455,64.6759,155.196,121.4,1411.0242,,1011.9141,191.7472,27.6595,179.5261,0.2,,1729.0429,1729.0,1554.9242,159.1648,14.9539,,,0.3811,8.3,2008.8
2014,,62.1323,7.2634,54.8689,721.4,383.4152,338.0,265.604,110.2409,155.3631,16.2374,206.1852,78.1445,128.0407,2864.1793,1416.3578,796.596,796.6,253.002,518.6359,24.9581,,619.8,259.6594,74.1601,161.5358,124.4,1447.8215,,1045.2499,187.7028,25.938,188.6935,0.2,,1658.4245,1658.4,1499.3164,145.4522,13.6559,,,0.3528,7.1,1987.8
2013,,61.1381,7.0462,54.0919,699.8,381.4331,318.4,256.4934,103.8158,152.6776,16.7576,220.0729,80.4378,139.6351,2993.5409,1497.4542,822.6961,822.7,268.9932,530.8309,22.872,,674.8,271.4716,86.2591,183.5317,133.5,1496.0867,,1086.3869,180.4465,23.1841,205.7158,0.4,,1695.3556,1695.4,1545.1429,138.195,12.0177,,,0.3891,6.6,1970.0
2012,,58.9673,6.837,52.1303,688.8,374.0574,314.8,243.9551,98.4817,145.4734,14.0629,196.4468,69.6698,126.777,3169.512,1598.742,844.6071,844.6,287.824,534.854,21.9291,21.9291,754.1,277.3643,105.811,213.9032,156.8,1570.77,1570.77,1148.4894,182.2554,21.892,217.6027,0.5,,1714.664,1714.7,1569.7392,134.263,10.6618,,,0.4547,6.6,1911.9
