年份,民办高等教育学校数,民办高校学校数,民办独立学院学校数,民办其他高等教育机构学校数,民办中等教育学校数,民办高中阶段教育学校数,民办普通高中学校数,民办中等职业教育学校数,民办初中阶段教育学校数,民办普通初中学校数,民办职业初中学校数,民办普通小学学校数,民办幼儿园学校数,民办培训机构学校数
2021,,,,,,,,,,,,,,
2020,,771.0,241.0,786.0,,,3694.0,,,,2.0,6187.0,167956.0,39516.0
2019,,756.0,257.0,782.0,,,3427.0,,,,2.0,6228.0,173236.0,33099.0
2018,,749.0,265.0,784.0,,,3216.0,,,,2.0,6179.0,165779.0,25064.0
2017,,747.0,,800.0,,,3002.0,2069.0,5277.0,5276.0,,6107.0,160372.0,21234.0
2016,,741.0,266.0,813.0,,,2787.0,,,,1.0,5975.0,154203.0,19501.0
2015,,734.0,275.0,813.0,,4810.0,2585.0,2225.0,4876.0,4875.0,,5859.0,146376.0,20089.0
2014,,728.0,283.0,799.0,,4785.0,2442.0,2343.0,4744.0,4743.0,,5681.0,139282.0,20001.0
2013,,718.0,292.0,802.0,,4857.0,2375.0,2482.0,4535.0,4535.0,,5407.0,133451.0,20104.0
2012,,707.0,303.0,823.0,,5020.0,2371.0,2649.0,4333.0,4333.0,,5213.0,124638.0,20155.0
2011,,698.0,309.0,830.0,,5250.0,2394.0,2856.0,4282.0,4282.0,,5186.0,115404.0,21403.0
2010,,676.0,323.0,836.0,,5622.0,2499.0,3123.0,4259.0,4259.0,,5351.0,102289.0,18341.0
2009,,658.0,322.0,812.0,,5868.0,2670.0,3198.0,4335.0,4331.0,4.0,5496.0,89304.0,19395.0
2008,,,,866.0,,,,,,,,,,
2007,,,,906.0,,,,,,,,,,
2006,,,,994.0,,,,,,,,,,
2005,,,,1077.0,,,,,,,,,,
2004,,,,1187.0,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
