年份,小学生师比,初中生师比,普通高中生师比,职业高中生师比,普通中专生师比,普通高校生师比,本科院校生师比,专科院校生师比
2021,,,,,,,,
2020,16.67,12.73,12.9,,,18.37,,
2019,16.85,12.88,12.99,,,17.95,,
2018,16.97,12.79,13.1,,,17.56,,
2017,16.98,12.52,13.39,,,17.52,,
2016,17.12,12.41,13.65,,,17.07,,
2015,17.05,12.41,14.01,,,17.73,,
2014,16.78,12.57,14.44,,,17.68,,
2013,16.76,12.76,14.95,,,17.53,,
2012,17.36,13.59,15.47,,,17.52,17.98,17.33
2011,17.71,14.38,15.77,21.5858206116549,31.5322512703051,17.42,17.4815129267551,17.28
2010,17.7,14.98,15.99,23.6611428366664,26.1017832145315,17.33,17.38,17.21
2009,17.88,15.47,16.3,23.6462391644454,27.8175561023984,17.27,17.23,17.35
2008,18.38,16.07,16.78,23.4706506132638,31.2652313295231,17.23,17.21,17.27
2007,18.82,16.52,17.48,23.4966791939351,31.3938925349635,17.28,17.31,17.2
2006,19.17,17.15,18.13,22.16,31.67,17.93,17.61,18.26
2005,19.43,17.8,18.54,20.62,31.02,16.85,17.75,14.78
2004,19.9795795240955,18.6475678652887,18.6479006551713,19.1,28.13,16.22,17.44,13.15
2003,20.5,19.13,18.35,,,17.0,,
2002,21.04,19.25,17.8,,,19.0,,
2001,21.64,19.24,16.73,,,18.22,,
2000,22.2057744484071,19.03,15.87,,,16.3,,
