年份,各类学校教育经费事业收入,高等学校事业收入,普通高等学校事业收入,成人高等学校事业收入,中等职业学校事业收入,中等专业学校事业收入,职业高中事业收入,技工学校事业收入,成人中专学校事业收入,中学事业收入,普通中学事业收入,普通高中事业收入,普通初中事业收入,农村普通初中事业收入,成人中学事业收入,小学事业收入,普通小学事业收入,农村普通小学事业收入,成人小学事业收入,特殊教育学校事业收入,幼儿园事业收入,教育行政单位事业收入,教育事业单位事业收入,其它类别学校事业收入
2021,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,
2019,87235020.797435,,,,,,,,,,,,,,,,,,,,,,,
2018,77382498.5737,,,,,,,,,,,,,,,,,,,,,,,
2017,69575733.8612,,,,,,,,,,,,,,,,,,,,,,,
2016,62768292.0,,,,,,,,,,,,,,,,,,,,,,,
2015,58097239.0,,,,,,,,,,,,,,,,,,,,,,,
2014,54271581.0,,,,,,,,,,,,,,,,,,,,,,,
2013,49262087.0,,,,,,,,,,,,,,,,,,,,,,,
2012,46198404.0,,,,,,,,,,,,,,,,,,,,,,,
2011,44246927.0,24620019.0,24007176.0,612843.0,3226600.3,1619122.1,942753.9,522611.6,142112.7,8144613.5,8136798.7,6238203.8,1898594.9,304463.4,7814.8,1638763.4,1638728.5,358382.2,34.9,7732.9,5497585.7,135171.4,785482.8,190957.6
2010,41060664.0,22767732.9,22165552.0,602180.9,3320022.0,1629680.1,998792.8,537845.9,153703.2,7918406.7,7908922.1,6105257.5,1803664.6,303436.1,9484.6,1529019.6,1528954.2,346471.1,65.4,10308.4,4342065.1,177991.7,780769.5,214347.6
2009,35275939.0,20836562.0,20188915.0,647647.0,3351544.0,1602827.0,1059045.0,524512.0,165160.0,7694347.0,7683630.0,5898236.0,1785394.0,354649.0,10718.0,1473223.0,1473141.0,374285.0,82.0,11722.0,724637.0,178525.0,761166.0,244214.0
2008,33670711.0,19328769.5,18644141.7,684627.8,3224120.8,1515101.4,1078745.5,465315.1,164958.8,7665882.9,7645671.6,5696493.4,1949178.2,441222.8,20211.3,1687494.2,1687376.5,405861.9,117.7,13068.1,602944.8,176070.9,720273.6,252085.9
2007,31772357.0,17661572.3,16987027.2,674545.1,2956030.9,1327253.4,1034984.0,425050.1,168743.4,7618742.1,7602049.1,5249418.0,2352631.1,465003.4,16693.0,1831040.2,1830564.7,410576.1,475.5,10800.8,482644.1,208985.0,747846.6,254695.3
2006,24073042.0,,,,,,,,,,,,,,,,,,,,,,,
2005,23399991.0,,,,,,,,,,,,,,,,,,,,,,,
2004,20114268.0,,,,,,,,,,,,,,,,,,,,,,,
2003,17218399.0,,,,,,,,,,,,,,,,,,,,,,,
2002,14609169.0,,,,,,,,,,,,,,,,,,,,,,,
2001,11575137.0,,,,,,,,,,,,,,,,,,,,,,,
2000,9382717.0,,,,,,,,,,,,,,,,,,,,,,,
