年份,普通专科招生数,师范普通专科招生数,农林牧渔大类普通专科招生数,交通运输大类普通专科招生数,生化与药品大类普通专科招生数,资源开发与测绘大类普通专科招生数,材料与能源大类普通专科招生数,土建大类普通专科招生数,水利大类普通专科招生数,制造大类普通专科招生数,电子信息大类普通专科招生数,环保、气象与安全大类普通专科招生数,轻纺食品大类普通专科招生数,财经大类普通专科招生数,医药卫生大类普通专科招生数,旅游大类普通专科招生数,公共事业大类普通专科招生数,文化教育大类普通专科招生数,艺术设计传媒大类普通专科招生数,公安大类普通专科招生数,法律大类普通专科招生数
2021,,,,,,,,,,,,,,,,,,,,,
2020,524.3364,,,,,,,,,,,,,,,,,,,,
2019,483.6146,,,,,,,,,,,,,,,,,,,,
2018,368.8341,,,,,,,,,,,,,,,,,,,,
2017,350.7,,,,,,,,,,,,,,,,,,,,
2016,343.2,,,,,,,,,,,,,,,,,,,,
2015,348.4,17.6167,5.9024,20.0611,6.9988,3.3974,4.0197,34.0934,1.445,45.8388,36.5308,1.5163,5.2927,75.9087,38.6246,11.3982,3.6576,32.4948,16.6223,1.0462,3.5823
2014,338.0,14.7331,5.5299,17.8228,6.822,4.1343,4.0111,41.1078,1.487,44.5265,31.2589,1.5096,5.1546,72.9039,36.5417,11.1067,3.5748,30.0436,15.8993,1.1423,3.4067
2013,318.4,15.1276,5.5578,16.0095,6.8115,4.521,3.9379,39.84,1.4678,40.3256,29.0916,1.4778,5.1005,67.6475,32.4759,10.7128,3.2966,29.7318,15.6091,1.1259,3.6593
2012,314.8,15.0568,5.6236,15.3172,7.0212,5.0023,4.1412,36.5236,1.3908,40.5538,29.7772,1.456,5.1904,69.1807,29.8521,11.0237,3.2418,29.7878,14.6639,1.1504,3.8785
2011,324.9,17.9603,5.7103,14.2769,7.6758,4.9534,4.5655,36.3343,1.4003,42.2391,31.3628,1.5516,5.6745,68.9471,31.1438,10.843,3.2815,34.3259,15.5198,1.1095,3.9447
2010,310.5,,,,,,,,,,,,,,,,,,,,
2009,313.4,,,,,,,,,,,,,,,,,,,,
2008,310.6,,,,,,,,,,,,,,,,,,,,
2007,283.8,,,,,,,,,,,,,,,,,,,,
2006,293.0,,,,,,,,,,,,,,,,,,,,
2005,268.1,,,,,,,,,,,,,,,,,,,,
2004,237.4,,,,,,,,,,,,,,,,,,,,
2003,199.6,,,,,,,,,,,,,,,,,,,,
2002,89.1,,,,,,,,,,,,,,,,,,,,
2001,66.6,,,,,,,,,,,,,,,,,,,,
2000,48.7,,,,,,,,,,,,,,,,,,,,
