年份,普通小学招生数,教育部门办普通小学招生数,其他部门办普通小学招生数,地方企业办普通小学招生数,民办普通小学招生数,城市普通小学招生数,城市教育部门办普通小学招生数,城市其他部门办普通小学招生数,城市地方企业办普通小学招生数,城市民办普通小学招生数,县镇普通小学招生数,县镇教育部门办普通小学招生数,县镇其他部门办普通小学招生数,县镇地方企业办普通小学招生数,县镇民办普通小学招生数,农村普通小学招生数,农村教育部门办普通小学招生数,农村其他部门办普通小学招生数,农村地方企业办普通小学招生数,农村民办普通小学招生数
2021,1782.6,,,,,,,,,,,,,,,,,,,
2020,1808.0902,,,,145.1975,,,,,,,,,,,,,,,
2019,1869.0411,,,,159.0448,,,,,,,,,,,,,,,
2018,1867.3,,,,76.4585,,,,,,,,,,,,,,,
2017,1766.6,,,,137.6977,,,,,,,,,,,,,,,
2016,1752.5,,,,127.7577,,,,,,,,,,,,,,,
2015,1729.0,,,,124.3553,,,,,,,,,,,,,,,
2014,1658.4,,,,114.8019,,,,,,,,,,,,,,,
2013,1695.4,1576.0639,7.5677,0.4394,111.2846,518.4555,451.7956,2.4521,0.1989,64.0089,585.094,549.6043,4.1151,0.1994,31.1752,591.8061,574.664,1.0005,0.0411,16.1005
2012,1714.7,1601.2083,8.5427,0.4737,104.4393,483.0142,420.8696,2.269,0.1703,59.7053,574.3893,539.7258,5.1027,0.2621,29.2987,657.2605,640.6129,1.171,0.0413,15.4353
2011,1736.8,1625.727,9.4541,0.7917,100.8252,469.1107,409.5206,3.0968,0.2452,56.2481,551.758,518.1127,4.9805,0.4595,28.2053,715.9293,698.0937,1.3768,0.087,16.3718
2010,1691.7,1588.1893,8.7879,,94.7235,313.9526,273.8997,2.4545,,37.5984,462.5978,429.303,1.3482,,31.9466,915.1503,884.9866,4.9852,,25.1785
2009,1637.8,1544.0279,9.7479,,84.022,282.9995,245.6777,2.7159,,34.6059,412.7154,382.9875,1.5053,,28.2226,942.0829,915.3627,5.5267,,21.1935
2008,1695.7,1602.7698,13.261,,79.6842,300.273,261.4679,3.9196,,34.8855,409.6718,382.4966,1.9917,,25.1835,985.7702,958.8053,7.3497,,19.6152
2007,1736.1,1640.7634,18.5474,,76.7564,295.725,255.3091,6.5965,,33.8194,405.7036,379.1153,3.26,,23.3283,1034.6386,1006.339,8.6909,,19.6087
2006,1729.4,1632.133,25.9753,,71.2489,268.2773,226.9735,11.6327,,29.6711,379.639,356.9137,4.0347,,18.6906,1081.4409,1048.2458,10.3079,,22.8872
2005,1671.7,1571.1304,35.5538,,65.0598,277.3731,230.4756,18.3987,,28.4988,326.5166,306.8823,4.9399,,14.6944,1067.8543,1033.7725,12.2152,,21.8666
2004,1747.0,1642.9376,47.6157,,56.4595,299.6128,245.3352,27.781,,26.4966,317.1362,299.6678,6.0639,,11.4045,1130.2638,1097.9346,13.7708,,18.5584
2003,1829.4,,,,,296.6115,,,,,340.3283,,,,,1192.4477,,,,
2002,1952.8,,,,,286.8086,,,,,371.3389,,,,,1294.6506,,,,
2001,1944.2,,,,,276.232,,,,,356.1441,,,,,1311.832,,,,
2000,1946.5,,,,,289.119,,,,,403.5987,,,,,1253.7476,,,,
