年份,普通本科毕业生数,师范普通本科毕业生数,哲学普通本科毕业生数,经济学普通本科毕业生数,法学普通本科毕业生数,教育学普通本科毕业生数,文学普通本科毕业生数,外语普通本科毕业生数,艺术普通本科毕业生数,历史学普通本科毕业生数,理学普通本科毕业生数,工学普通本科毕业生数,农学普通本科毕业生数,医学普通本科毕业生数,管理学普通本科毕业生数
2021,,,,,,,,,,,,,,,
2020,420.5097,,,,,,,,,,,,,,
2019,394.7157,,,,,,,,,,,,,,
2018,386.8358,,,,,,,,,,,,,,
2017,384.1839,,,,,,,,,,,,,,
2016,374.368,,,,,,,,,,,,,,
2015,358.594,36.6664,0.2039,21.9365,13.1285,12.4108,36.7529,20.1988,31.7962,1.741,25.5632,118.0508,6.0908,22.3917,68.5277
2014,341.3787,36.4225,0.1943,20.6239,12.98,11.2424,36.2972,20.0266,29.2591,1.6866,25.5304,113.2226,5.9796,20.9748,63.3878
2013,319.9716,34.2076,0.2034,19.353,12.2676,10.4691,35.5662,20.0312,27.1544,1.5773,24.879,105.8768,5.8752,19.2344,57.5152
2012,303.8473,32.8571,0.2038,18.8257,12.1634,10.3884,58.8198,20.1115,24.0957,1.5588,29.406,96.4583,5.3789,17.8085,52.8357
2011,279.6229,30.299,0.2167,17.2583,11.7923,9.514,53.7958,18.5771,21.6458,1.4309,27.9101,88.4542,5.1148,16.8582,47.2776
2010,259.0535,29.3421,0.1952,15.8286,11.4588,9.0327,48.752,17.2377,18.6888,1.3713,26.9053,81.3218,4.8442,16.2401,43.1035
2009,245.5359,29.563,0.1652,15.0666,11.7182,8.6705,45.8761,16.1021,17.2719,1.3544,26.4494,76.3635,4.6847,15.2392,39.9481
2008,225.6783,30.3253,0.161,14.1475,11.61,8.0937,40.6946,14.9693,14.1806,1.2732,25.161,70.4604,4.5649,13.9105,35.6015
2007,199.5944,,,,,,,,,,,,,,
2006,172.6674,,0.1417,10.4665,9.1596,6.174,28.3404,,,1.0605,19.4807,57.5634,3.674,10.721,25.8856
2005,146.5786,,0.1275,8.071,7.614,5.0342,22.6903,,,1.0694,16.3076,51.7225,3.5419,9.6011,20.7991
2004,119.629,,0.1239,6.1758,6.3334,4.0164,16.8738,,,1.0176,13.4164,44.2463,3.4078,8.1098,15.9078
2003,92.9598,,0.1127,4.8878,5.2756,3.0977,12.6087,,,0.8791,10.3409,35.1537,2.9758,5.5927,12.0351
2002,65.5763,,0.0858,3.7517,3.6332,2.2885,7.771,,,0.7022,7.2526,25.2024,2.2462,4.732,7.9107
2001,56.7839,,0.0873,3.5267,3.0326,1.7965,6.2956,,,0.6101,6.3517,21.9563,1.9005,4.1468,7.0798
2000,49.5624,,0.0775,7.8205,1.9806,1.7939,5.3826,,,0.6755,4.9214,21.2905,1.9154,3.7045,
