年份,职业技术培训机构专任教师数,职工技术培训学校(机构)专任教师数,教育部门和集体办职工技术培训学校(机构)专任教师数,其他部门办职工技术培训学校(机构)专任教师数,民办职工技术培训学校(机构)专任教师数,农村成人文化技术培训学校(机构)专任教师数,教育部门和集体办农村成人文化技术培训学校(机构)专任教师数,县办农村成人文化技术培训学校(机构)专任教师数,乡办农村成人文化技术培训学校(机构)专任教师数,村办农村成人文化技术培训学校(机构)专任教师数,其他部门办农村成人文化技术培训学校(机构)专任教师数,民办农村成人文化技术培训学校(机构)专任教师数,其他培训机构(含社会培训机构)专任教师数,教育部门和集体办其他培训机构(含社会培训机构)专任教师数,其他部门办其他培训机构(含社会培训机构)专任教师数,民办其他培训机构(含社会培训机构)专任教师数
2021,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,
2013,27.4311,4.5591,3.1017,0.7942,0.6632,9.0112,8.425,1.4885,3.4405,3.496,0.3142,0.272,13.8608,0.8731,0.9595,12.0282
2012,28.2233,4.3114,2.9878,0.8149,0.5087,8.7761,8.3185,1.1067,3.4041,3.8077,0.197,0.2606,15.1358,0.9303,0.8231,13.3824
2011,29.8332,4.7898,3.3833,0.8002,0.6063,9.4474,8.9546,1.1281,3.7844,4.0421,0.1882,0.3046,15.596,0.7965,0.9579,13.8416
2010,24.2299,3.0896,1.8909,0.6981,0.5006,9.1966,8.797,1.0186,3.6049,4.1735,0.2349,0.1647,11.9437,0.6669,0.8117,10.4651
2009,25.2419,3.1449,1.7824,0.751,0.6115,9.6967,9.2394,1.0266,3.5677,4.6451,0.2501,0.2072,12.4003,0.9441,0.7815,10.6747
2008,25.2881,3.2412,1.862,0.74,0.6392,10.0725,9.6191,0.9505,3.7608,4.9078,0.224,0.2294,11.9744,0.86,1.3158,9.7986
2007,26.3825,3.3847,1.807,0.8318,0.7459,10.2823,9.724,0.7074,3.9625,5.0541,0.3007,0.2576,12.7155,0.9109,0.9254,10.8792
2006,25.8522,2.841,1.3708,0.6396,0.8306,10.3116,9.8727,0.6293,3.8558,5.3876,0.1497,0.2892,12.6996,0.8323,1.2824,10.5849
2005,25.6004,2.8541,1.3587,0.597,0.8984,10.8821,10.1516,0.6204,3.773,5.7582,0.2636,0.4669,11.8642,0.72,0.5976,10.5466
2004,23.433,2.0975,1.081,0.636,0.3805,10.6385,10.0124,0.7177,3.9728,5.3219,0.3623,0.2638,10.697,0.7206,0.9916,8.9848
2003,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
