年份,普通高等学校数,普通高等学校招生数,普通高等学校本科招生数,普通高等学校专科招生数,普通高等学校在校学生数,普通高等学校本科在校学生数,普通高等学校专科在校学生数,普通高等学校预计毕业生数,普通高等学校本科预计毕业生数,普通高等学校专科预计毕业生数,普通高等学校毕(结)业生数,普通高等学校本科毕(结)业生数,普通高等学校专科毕(结)业生数,普通高等学校本专科授予学位数
2021,,1001.3,,,3496.1,,,,,,826.5,,,
2020,2738.0,967.4518,443.1154,524.3364,3285.2948,1825.746,1459.5488,854.0006,444.2318,409.7688,797.1991,420.5097,376.6894,416.9808
2019,2688.0,914.9026,431.288,483.6146,3031.5262,1750.8204,1280.7058,819.9075,434.3591,385.5484,758.5298,394.7157,363.8141,389.175
2018,2663.0,790.9931,422.159,368.8341,2831.0,1697.3343,1133.7005,787.6732,412.5184,375.1548,753.3,386.8358,366.4729,380.7417
2017,2631.0,761.5,410.7534,350.7,2753.6,1648.632,1105.0,780.4685,403.1331,377.3354,735.8,384.1839,351.6,377.1039
2016,2596.0,748.6,405.4007,343.2,2695.8,1612.9535,1082.9,759.5176,399.1586,360.359,704.2,374.368,329.8,365.9686
2015,2560.0,737.8,389.4184,348.4,2625.3,1576.6848,1048.6,725.4599,387.9845,337.4754,680.9,358.594,322.3,350.323
2014,2529.0,721.4,383.4152,338.0,2547.7,1541.0653,1006.6,699.8928,370.1175,329.7753,659.4,341.3787,318.0,333.8323
2013,2491.0,699.8,381.4331,318.4,2468.1,1494.4353,973.6,673.7474,349.745,324.0024,638.7,319.9716,318.7,313.0415
2012,2442.0,688.8,374.0574,314.8,2391.3,1427.0888,964.2,651.7623,323.1125,328.6498,624.7,303.8473,320.9,296.6148
2011,2409.0,681.5,356.6411,324.9,2308.5,1349.6577,958.9,636.1179,311.3087,324.8092,608.2,279.6229,328.5,270.7934
2010,2358.0,661.8,351.2563,310.5,2231.8,1265.6132,966.2,619.0661,286.8211,332.245,575.4,259.0535,316.4,243.5867
2009,2305.0,639.5,326.1081,313.4,2144.7,1179.8511,964.8,587.4139,266.296,321.1179,531.1,245.5359,285.6,229.82
2008,2263.0,607.7,297.0601,310.6,2021.0,1104.2207,916.8,541.8109,252.8494,288.9615,511.9498,225.6783,286.3,208.2558
2007,1908.0,565.9,282.0971,283.8,1884.9,1024.303,860.6,523.5175,232.4882,291.0293,447.8,199.5944,248.2,182.0516
2006,1867.0,546.1,253.0854,293.0,1738.8,943.3395,795.5,458.7743,205.6794,253.0949,377.5,172.6674,204.8,156.5549
2005,1792.0,504.5,236.3647,268.1,1561.8,848.8188,713.0,388.1031,178.5706,209.5325,306.8,146.5786,160.2,130.9692
2004,1731.0,447.3,209.9151,237.4,1333.5,737.8436,595.7,,,,239.1,119.629,119.5,
2003,1552.0,382.2,182.5262,199.6,1108.6,629.2089,479.4,,,,187.7,92.9598,94.8,
2002,1396.0,320.5,158.7939,89.1,903.4,527.0845,193.4,,,,133.7,65.5763,27.7,
2001,1225.0,268.3,138.1835,66.6,719.1,424.3744,146.8,,,,103.6,56.7839,19.3,
2000,1041.0,220.6,116.0191,48.7,556.1,340.0181,100.9,,,,95.0,49.5624,17.9,
